timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1558298145177,607,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,628,0,1,1,https://google.com/search?q=James,607,0,0
1558298145787,47,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,636,0,1,1,https://google.com/search?q=Josephine,47,0,0
1558298145834,42,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,624,0,1,1,https://google.com/search?q=Art,42,0,0
1558298145876,50,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,628,0,1,1,https://google.com/search?q=Lenna,50,0,0
1558298145926,48,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,632,0,1,1,https://google.com/search?q=Donette,48,0,0
1558298145975,47,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,630,0,1,1,https://google.com/search?q=Simona,47,0,0
1558298146023,46,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,630,0,1,1,https://google.com/search?q=Mitsue,46,0,0
1558298146070,46,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,628,0,1,1,https://google.com/search?q=Leota,46,0,0
1558298146117,48,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,626,0,1,1,https://google.com/search?q=Sage,48,0,0
1558298146166,54,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,626,0,1,1,https://google.com/search?q=Kris,54,0,0
1558298146221,50,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,628,0,1,1,https://google.com/search?q=Minna,50,0,0
1558298146271,49,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,626,0,1,1,https://google.com/search?q=Abel,49,0,0
1558298146320,50,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,628,0,1,1,https://google.com/search?q=Kiley,50,0,0
1558298146370,47,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,634,0,1,1,https://google.com/search?q=Graciela,47,0,0
1558298146418,41,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,628,0,1,1,https://google.com/search?q=Cammy,41,0,0
1558298146459,49,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,630,0,1,1,https://google.com/search?q=Mattie,49,0,0
1558298146508,42,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,632,0,1,1,https://google.com/search?q=Meaghan,42,0,0
1558298146551,43,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,630,0,1,1,https://google.com/search?q=Gladys,43,0,0
1558298146594,47,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,626,0,1,1,https://google.com/search?q=Yuki,47,0,0
1558298146641,149,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,632,0,1,1,https://google.com/search?q=Fletche,149,0,0
